,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
INDONESIA,,,,,,,,,,,,2021
IRAN (ISLAMIC REPUBLIC OF),"1,284",442,0,0,0,461,189,"1,395","6,999","3,500,000","2,500,000",2021
IRELAND,,,,,,,,,,,,2021
ISRAEL,,,,,,,,,,,,2021
ITALY,"201,014","43,732",21,40,339,"1,640",75,"201,800","8,027,415","15,000,000","7,000,000",2021
JAPAN,"320,108","107,958",126,11,141,"78,327",880,"320,493","16,613,710","7,106,000",,2021
JORDAN,266,38,0,0,0,102,0,428,"3,527",,,2021
KAZAKHSTAN,,,,,,,,,,,,2021
KIRGHIZISTAN,742,182,7,5,2,"1,100",16,790,"13,420","13,920","1,400",2021
KOREA (REPUBLIC OF),"15,355","3,839",11,9,151,"47,619",33,"16,634","335,288","2,300,000","2,268,514",2021
KOSOVO,"3,095",625,4,8,17,638,23,"3,653","13,734","16,500","8,570",2021
KUWAIT,,,,,,,,,,,,2021
LATVIA,"3,629",799,18,4,17,"3,216",36,"4,070","164,051","150,000","85,000",2021
LEBANON,,,,,,,,,,,,2021
LITHUANIA,,,,,,,,,,,,2021
LUXEMBOURG,,,,,,,,,,,,2021
MALAYSIA,"6,993","1,788",2,0,10,"1,545",3,"7,390","294,261",,,2021
MALTA,,,,,,,,,,,,2021
MEXICO,,,,,,,,,,,,2021
MOLDAVIA (REPUBLIC OF),,,,,,,,,,,,2021
MONACO,4,1,1,1,0,5,0,7,"2,206","3,500","3,000",2021
MONGOLIA,,,,,,,,,,,,2021
MONTENEGRO,,,,,,,,,,,,2021
MOROCCO,"1,984",437,0,0,7,300,5,"1,992","27,310","3,000,000","500,000",2021
MYANMAR,741,141,0,0,0,372,4,"1,233","4,949","385,000","73,500",2021
NEW ZEALAND,,,,,,,,,,,,2021
NICARAGUA,,,,,,,,,,,,2021
NORTH MACEDONIA,"2,240",475,9,23,32,"1,800",40,"2,356","52,327","37,500","2,000",2021
NORWAY,,,,,,,,,,,,2021
PAKISTAN,,,,,,,,,,,,2021
PANAMA,,,,,,,,,,,,2021
PARAGUAY,,,,,,,,,,,,2021
PERU,,,,,,,,,,,,2021
PHILIPPINES,"133,478","33,207",0,0,38,"27,415",24,"137,223","1,573,365",,,2021
POLAND,"73,158","14,692",163,13,314,"26,850",47,"75,646","345,418",,"7,600,000",2021
PORTUGAL,"17,781","3,709",12,6,49,767,44,"18,659",,,,2021
PUERTO RICO,,,,,,,,,,,,2021
ROMANIA,,,,,,,,,,,,2021
RUSSIAN FEDERATION,"352,459","73,731","1,393",105,473,0,"1,395","356,373","6,486,473","22,600,000","20,000,000",2021
SAN MARINO,195,38,6,9,4,24,2,235,"5,937","6,124","4,523",2021
SERBIA,"61,974","15,263",33,13,290,"35,001",204,"63,011","1,506,240",,,2021
SINGAPORE,,,,,,,,,,,,2021
SLOVAKIA,"14,815","2,915",0,13,99,"8,819",3,"15,947",,,,2021
SLOVENIA,"4,396",888,8,11,203,0,123,"5,117","113,899","150,000","75,000",2021
SOUTH AFRICA,"14,024","3,033",38,5,118,"3,450",200,"14,172","839,350","10,000,000","6,000,000",2021
SPAIN,"66,592","17,051",42,22,254,"2,256",367,"69,545","2,602,509",,,2021
SRI LANKA,"10,857","1,741",2,2,0,281,1,"11,730","29,417","120,000","15,000",2021
SUDAN,,,,,,,,,,,,2021
SWEDEN,"62,894","12,013",6,3,268,"296,793","1,100","62,894","2,702,000","989,000","719,000",2021
SWITZERLAND,"7,439","1,417",40,9,129,"50,258",431,"8,249",,"545,019","444,585",2021
TAIWAN,,,,,,,,,,,,2021
THAILAND,,,,,,,,,,,,2021
THE NETHERLANDS,"39,340","7,038",3,5,271,"87,221",300,"41,193","3,000,000","1,500,000",,2021
TURKEY,,,,,,,,,,,,2021
UKRAINE,"34,004","7,626",45,46,48,"290,832",36,"35,250","360,326",,,2021
UNITED ARAB EMIRATES,,,,,,,,,,,,2021
URUGUAY,"3,302",873,8,2,38,649,5,"3,356","112,023","1,700,000","600,000",2021
UZBEKISTAN,478,136,3,0,7,"1,278",12,688,"5,124",,,2021
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2021
VIETNAM,,,,,,,,,,,,2021
ALBANIA,,,,,,,,,,,,2020
ALGERIA,,,,,,,,,,,,2020
ARGENTINA,,,,,,,,,,,,2020
ARMENIA,513,89,0,0,0,27,3,194,"2,223",,,2020
AUSTRALIA,"70,202","14,117",237,1,"1,861","30,473",931,"72,726",,,,2020
AUSTRIA,"7,521","1,251",3,3,230,"58,561",104,"8,557","583,215","820,000","750,000",2020
AZERBAIJAN,,,,,,,,,,,,2020
BAHRAIN,272,58,0,0,1,81,0,292,"3,784","5,543","2,769",2020
BELARUS,"1,982",410,217,8,39,"39,723",30,"2,355","38,660",,"59,355",2020
BELGIUM,,,,,,,,,,,,2020
BOLIVIA,"3,277",666,11,0,14,23,12,"3,428","3,472","3,000,000","1,000,000",2020
BOSNIA AND HERZEGOVINA,"7,848","1,550",4,7,95,"1,286",54,"8,037","110,417",,,2020
BRAZIL,"128,782","37,151",13,2,203,14,80,"129,615","3,397,485","54,200,000","54,000,000",2020
BULGARIA,"2,725",788,4,26,54,"2,114",58,"3,448","54,224",,,2020
CHILE,,,,,,,,,,,,2020
CHINA,,,,,,,,,,,,2020
COLOMBIA,"1,784",430,6,0,14,125,13,"1,785","75,800",,,2020
COSTA RICA,"5,123",805,4,0,10,"1,325",7,"6,224",,"12,125","11,200",2020
CROATIA,"11,549","2,308",4,4,117,"3,896",128,"12,040","316,937","350,000",,2020
CUBA,"1,152",209,0,0,5,0,11,"1,169","25,441",,,2020
CYPRUS,,,,,,,,,,,,2020
CZECH REPUBLIC,"46,336","9,058",7,3,334,"47,030",169,"47,626","1,691,028","2,000,000","1,500,000",2020
DENMARK,"22,445","4,383",1,1,206,"27,408",70,"23,742","1,810,000","600,000","490,000",2020
DOMINICAN REPUBLIC,"1,325",379,1,1,10,600,6,"1,483","16,483","190,000","400,000",2020
ECUADOR,,,,,,,,,,,,2020
EGYPT,"3,642",419,3,0,3,869,8,"3,754","15,130",,,2020
EL SALVADOR,,,,,,,,,,,,2020
ESTONIA,"4,742","1,003",20,9,34,"2,515",133,"5,189","81,353",,,2020
FINLAND,"48,895","9,750",2,5,211,"149,245","2,086","51,297","530,000","700,000","500,000",2020
FRANCE,"242,549","47,164",13,8,606,"250,000","1,545","245,553","3,579,081","7,600,000","6,000,000",2020
GEORGIA,"3,211",535,6,2,5,43,12,"3,551","53,285","69,953","26,200",2020
GERMANY,"77,472","14,050",0,1,867,"373,406",180,,,"9,400,000","10,000,000",2020
GIBRALTAR,,,,,,,,,,,,2020
GREECE,"9,487","2,000",6,4,33,728,63,"9,700","185,636",,,2020
GUATEMALA,,,,,,,,,,,,2020
HONDURAS,,,,,,,,,,,,2020
HONG KONG,,,,,,,,,,,,2020
HUNGARY,"22,564","4,936",9,21,114,"7,982",171,"23,660","1,242,604","3,000,000","2,500,000",2020
ICELAND,"1,820",403,0,1,11,,28,,,,,2020
INDIA,"53,890","6,520",45,2,19,375,84,"55,512","961,215","15,894,789","68,411,000",2020
INDONESIA,,,,,,,,,,,,2020
IRAN (ISLAMIC REPUBLIC OF),964,203,0,0,0,454,139,"1,013","5,427","3,500,000","2,500,000",2020
IRELAND,,,,,,,,,,,,2020
ISRAEL,,,,,,,,,,,,2020
ITALY,"158,553","34,842",7,19,334,"1,606",76,"161,053","7,802,340","15,000,000","7,000,000",2020
JAPAN,"305,228","104,478",37,4,140,"76,052",870,"305,532","16,293,217","8,489,000",,2020
JORDAN,312,52,0,0,0,80,1,614,"3,099",,,2020
KAZAKHSTAN,,,,,,,,,,,,2020
KIRGHIZISTAN,650,100,3,0,11,"1,050",15,700,"12,630",,,2020
KOREA (REPUBLIC OF),"16,665","4,166",10,5,144,"41,765",76,"17,050","318,313","5,984,903","15,000,000",2020
KOSOVO,"3,036",586,0,0,15,540,22,"3,167","10,081","15,000","8,380",2020
KUWAIT,879,180,0,0,0,113,0,"1,011","3,831",,,2020
LATVIA,"3,125",416,20,0,17,"3,026",36,"3,381","159,981","130,000","84,000",2020
LEBANON,,,,,,,,,,,,2020
LITHUANIA,"7,433","1,676",37,11,33,"4,000",46,"7,956","138,844","300,000","150,000",2020
LUXEMBOURG,,,,,,,,,,,,2020
MALAYSIA,"6,930","1,859",8,5,10,"1,735",3,"7,151","286,871",,,2020
MALTA,,,,,,,,,,,,2020
MEXICO,,,,,,,,,,,,2020
MOLDAVIA (REPUBLIC OF),,,,,,,,,,,,2020
MONACO,,,,,,,,,,,,2020
MONGOLIA,,,,,,,,,,,,2020
MONTENEGRO,"3,437",903,1,8,42,723,31,"3,461","26,131","13,000","7,200",2020
MOROCCO,"1,916",318,0,0,7,300,5,"1,921","25,826","3,000,000","500,000",2020
MYANMAR,687,113,2,0,0,249,4,"1,015","3,716","350,000","70,000",2020
NEW ZEALAND,"9,171","1,824",70,0,200,"5,328",288,"9,471",,"851,000","1,787,900",2020
NICARAGUA,574,72,1,0,1,38,7,615,"6,750",,,2020
NORTH MACEDONIA,"1,890",395,4,10,38,"1,800",40,"1,990","49,971","35,000","19,500",2020
NORWAY,,,,,,,,,,,,2020
PAKISTAN,,,,,,,,,,,,2020
PANAMA,,,,,,,,,,,,2020
PARAGUAY,,,,,,,,,,,,2020
PERU,"4,171",976,6,2,14,280,3,"4,300","110,000","3,000,000","1,500,000",2020
PHILIPPINES,"93,320","23,414",17,4,38,"20,329",24,"94,031","1,436,142","10,800,000","11,600,000",2020
POLAND,"62,192","12,308",12,3,235,"23,500",26,"16,609",,"82,168",,2020
PORTUGAL,"14,399","3,107",6,3,49,688,44,"14,854",,,,2020
PUERTO RICO,,,,,,,,,,,,2020
ROMANIA,"14,592","2,952",22,20,81,"5,336",19,"15,098","291,853",,,2020
RUSSIAN FEDERATION,"346,400","67,395","1,369",56,692,0,"1,360","350,400","6,130,100","19,000,000","9,500,000",2020
SAN MARINO,107,24,3,2,3,24,2,129,"5,701","6,081","4,500",2020
SERBIA,"48,760","12,493",5,2,260,"32,820",204,"49,503","1,443,229",,,2020
SINGAPORE,,,,,,,,,,,,2020
SLOVAKIA,"13,069","2,598",0,12,101,"8,711",3,"13,905",,,,2020
SLOVENIA,"3,860",765,2,9,135,0,120,"4,336","108,782","150,000","75,000",2020
SOUTH AFRICA,"11,935","2,881",13,0,147,"3,488",204,"12,332","825,178","9,950,000","6,000,000",2020
SPAIN,"39,613","10,419",17,6,250,"2,268",327,"40,646","2,532,965",,,2020
SRI LANKA,"5,270",913,1,0,0,267,1,"5,765","17,687","84,000","5,100",2020
SUDAN,,,,,,,,,,,,2020
SWEDEN,"57,076","11,037",1,1,268,"281,000","1,100","57,076","2,640,000","934,000","687,000",2020
SWITZERLAND,"6,933","1,342",17,0,130,"43,342",449,"7,732","167,850","529,447","200,000",2020
TAIWAN,,,,,,,,,,,,2020
THAILAND,,,,,,,,,,,,2020
THE NETHERLANDS,"35,491",,1,3,276,,,,,,,2020
TURKEY,,,,,,,,,,,,2020
UKRAINE,"35,306","7,854",43,38,220,"275,179",33,"36,322","328,716",,,2020
UNITED ARAB EMIRATES,178,33,0,2,0,108,1,213,"2,714",,,2020
URUGUAY,"2,962",687,2,1,38,590,5,"3,028","108,667","1,700,000","600,000",2020
UZBEKISTAN,429,123,1,0,6,"1,164",12,614,"4,436",,,2020
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2020
VIETNAM,,,,,,,,,,,,2020
ALBANIA,,,,,,,,,,,,2019
ALGERIA,"1,822",365,0,0,6,"1,230",18,"1,826","5,144","10,000","4,000",2019
ARGENTINA,"47,266","9,950",325,15,168,0,61,"47,642","1,650,369",,"207,985",2019
ARMENIA,588,87,4,4,0,329,3,424,"2,099",,,2019
AUSTRALIA,,,,,,,,,,,,2019
AUSTRIA,"7,554","1,305",12,12,285,"58,653",206,"8,705","572,658","665,300","510,590",2019
AZERBAIJAN,,,,,,,,,,,,2019
BAHRAIN,236,72,0,3,1,21,0,251,"3,514","5,273","2,732",2019
BELARUS,"2,285",460,231,8,38,"44,321",29,"2,305",,,"57,000",2019
BELGIUM,,,,,,,,,,,,2019
BOLIVIA,"3,736",876,34,5,14,880,12,"4,515","39,136","3,000,000","750,000",2019
BOSNIA AND HERZEGOVINA,"7,475","1,487",20,19,103,"1,243",57,"7,766","102,144",,,2019
BRAZIL,"120,981","32,485",588,62,138,0,79,"120,981","2,940,606","45,954,296","88,553",2019
BULGARIA,"3,824",826,4,50,50,"1,900",58,"4,160","50,779",,,2019
CHILE,"13,139","2,940",25,1,26,,15,"13,160","519,651","3,600,000",,2019
CHINA,"116,771","35,299",433,75,30,"24,225",124,"49,679","661,135",,,2019
COLOMBIA,"1,880",457,52,6,14,137,13,"1,830","74,000",,,2019
COSTA RICA,"4,000",710,22,15,8,"1,000",20,,,"10,000","9,500",2019
CROATIA,"10,027","2,005",17,20,120,"4,028",129,"10,552","304,897","350,000",,2019
CUBA,"1,325",220,16,8,5,0,11,"1,437",,,,2019
CYPRUS,,,,,,,,,,,,2019
CZECH REPUBLIC,"42,849","8,466",15,10,330,"50,300",169,"44,427","1,643,402","2,000,000","1,500,000",2019
DENMARK,"20,159","3,981",12,10,206,"26,207",68,"21,589","1,790,000","570,000","480,000",2019
DOMINICAN REPUBLIC,,,,,,,,,,,,2019
ECUADOR,,,,,,,,,,,,2019
EGYPT,"2,806",364,2,2,3,556,8,"3,011","11,909","1,018,000","860,000",2019
EL SALVADOR,,,,,,,,,,,,2019
ESTONIA,"4,466",961,32,11,36,"2,327",108,"5,030","76,164",,,2019
FINLAND,"45,111","8,693",26,19,218,"148,543","2,066","47,749","600,000","800,000","500,000",2019
FRANCE,"230,434","37,304",69,34,546,"250,000","1,549","233,802","3,333,528","7,340,000","6,000,000",2019
GEORGIA,"3,017",520,5,7,5,38,12,"3,192","49,734","57,034","22,180",2019
GERMANY,"72,381","13,437",7,18,878,"377,986",181,,,"9,400,000","10,000,000",2019
GIBRALTAR,,,,,,,,,,,,2019
GREECE,"7,179","1,468",19,16,35,680,60,"7,421","175,936",,,2019
GUATEMALA,"3,202",902,20,6,7,"7,636",6,"3,284","72,589",,,2019
HONDURAS,,,,,,,,,,,,2019
HONG KONG,,,,,,,,,,,,2019
HUNGARY,"20,029","4,274",24,23,132,"7,383",170,"21,126","1,220,040","3,000,000","2,500,000",2019
ICELAND,"1,639",370,3,3,11,"3,700",28,"1,773","26,870","30,000","30,000",2019
INDIA,"43,651","6,320",112,2,21,387,86,"44,702","905,703","15,839,286","68,376,000",2019
INDONESIA,,,,,,,,,,,,2019
IRAN (ISLAMIC REPUBLIC OF),554,103,0,0,0,433,105,644,"4,414","3,000,000","2,000,000",2019
IRELAND,,,,,,,,,,,,2019
ISRAEL,,,,,,,,,,,,2019
ITALY,"153,771","34,638",47,86,329,"1,580",77,"156,859","7,616,784","15,000,000","7,000,000",2019
JAPAN,"293,237","102,802",131,15,144,"75,673",876,"293,659","15,987,685","8,797,000",,2019
JORDAN,196,28,3,0,0,50,1,546,"2,485",,,2019
KAZAKHSTAN,,,,,,,,,,,,2019
KIRGHIZISTAN,730,125,9,4,11,"1,040",15,825,"11,930",,,2019
KOREA (REPUBLIC OF),"14,925","3,700",42,23,80,"38,000",118,"15,149","196,663","2,700,000","12,750,000",2019
KOSOVO,"3,174",534,4,8,15,543,22,"3,248","7,045","15,000","8,380",2019
KUWAIT,690,103,1,2,0,56,0,"1,017","2,820",,,2019
LATVIA,"2,933",692,22,4,17,"2,717",36,"3,377","156,600","133,000","57,000",2019
LEBANON,,,,,,,,,,,,2019
LITHUANIA,"6,090","1,385",43,16,34,"4,000",46,"6,759","130,888","300,000","150,000",2019
LUXEMBOURG,,,,,,,,,,,,2019
MALAYSIA,"6,278","1,746",27,10,10,"1,826",3,"6,472","279,720",,,2019
MALTA,,,,,,,,,,,,2019
MEXICO,,,,,,,,,,,,2019
MOLDAVIA (REPUBLIC OF),"1,704",402,16,24,20,0,16,246,"2,836",,,2019
MONACO,13,4,1,1,0,5,0,15,"2,193","3,500","3,000",2019
MONGOLIA,"1,323",420,5,0,0,"1,902",9,"1,902","6,218","101,430","48,450",2019
MONTENEGRO,"3,336",807,2,17,41,709,31,"3,380","22,670","8,200","6,250",2019
MOROCCO,"1,689",346,1,0,7,300,5,"1,709","23,905","2,500,000","500,000",2019
MYANMAR,270,42,8,0,0,202,4,780,"2,701","350,000","70,000",2019
NEW ZEALAND,"8,606","1,433",0,0,164,"5,384",290,"9,219",,"565,757","443,596",2019
NICARAGUA,,,,,,,,,,,,2019
NORTH MACEDONIA,"1,643",380,6,19,26,"1,850",48,"1,900","47,981","31,263","18,450",2019
NORWAY,,,,,,,,,,,,2019
PAKISTAN,,,,,,,,,,,,2019
PANAMA,,,,,,,,,,,,2019
PARAGUAY,358,92,9,5,14,81,3,850,,,"47,300",2019
PERU,,,,,,,,,,,,2019
PHILIPPINES,"85,224","22,014",136,20,38,"19,455",25,"86,888","1,342,111",,,2019
POLAND,"51,132","10,535",58,24,230,"22,000",26,"20,434",,"76,373",,2019
PORTUGAL,"13,635","3,017",29,15,50,682,41,,,,,2019
PUERTO RICO,,,,,,,,,,,,2019
ROMANIA,,,,,,,,,,,,2019
RUSSIAN FEDERATION,"317,208","70,662","1,293",55,760,0,"1,335","319,700","5,779,700","18,900,000","9,500,000",2019
SAN MARINO,134,25,6,6,3,23,2,156,"5,572","5,070","3,868",2019
SERBIA,"40,638","11,488",79,29,250,"32,560",202,"41,459","1,393,726",,,2019
SINGAPORE,,,,,,,,,,,,2019
SLOVAKIA,"11,921","2,350",1,18,103,"8,795",3,"12,957",,,,2019
SLOVENIA,"3,314",672,3,17,135,0,120,"3,880","104,446","150,000","75,000",2019
SOUTH AFRICA,"13,067","3,149",58,4,147,"3,530",198,"13,204","812,846","9,950,000","6,000,000",2019
SPAIN,"53,963","14,173",56,29,261,"2,363",355,"55,459","2,466,563",,,2019
SRI LANKA,"3,051",579,5,0,0,141,0,"3,346","11,922","57,000","42,000",2019
SUDAN,,,,,,,,,,,,2019
SWEDEN,"51,454","9,809",18,6,272,"275,000","1,100","51,454","2,580,000","881,000","668,000",2019
SWITZERLAND,"6,287","1,317",,,,,,"7,705",,"523,139",,2019
TAIWAN,,,,,,,,,,,,2019
THAILAND,"30,228","9,126",77,13,68,"36,117",10,"36,849","510,200","30,353","36,850",2019
THE NETHERLANDS,"34,524","8,200",0,13,284,"89,689",304,"36,469",,,,2019
TURKEY,"5,762","1,039",10,8,21,0,26,"6,916","37,488","350,000","200,000",2019
UKRAINE,"36,027","8,090",60,49,179,"260,329",32,"37,443","292,394",,,2019
UNITED ARAB EMIRATES,63,11,1,1,0,108,1,185,"2,501",,,2019
URUGUAY,"3,354",783,18,3,41,637,7,"3,488","105,639","1,700,000","600,000",2019
UZBEKISTAN,582,194,6,4,5,"1,142",12,812,"3,822",,,2019
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2019
VIETNAM,,,,,,,,,,,,2019
ALBANIA,,,,,,,,,,,,2018
ALGERIA,"1,236",309,0,0,0,"1,022",16,"1,330","3,318","9,000","4,000",2018
ARGENTINA,"53,714","11,357",358,24,154,0,62,"54,205","1,610,076",,"203,452",2018
ARMENIA,624,97,4,4,0,341,3,398,"1,675",,,2018
AUSTRALIA,"69,918","14,042","1,375",4,"1,144","32,270","1,004","69,336",,,"83,835",2018
AUSTRIA,"7,504","1,295",12,12,282,"58,550",205,"8,690","563,953","665,000","510,500",2018
AZERBAIJAN,,,,,,,,,,,,2018
BAHRAIN,334,82,1,2,1,21,0,308,"3,281","4,962","2,700",2018
BELARUS,,457,320,8,33,,30,,,,,2018
BELGIUM,,,,,,,,,,,,2018
BOLIVIA,"3,800","1,010",33,4,13,880,12,"5,240","35,400","3,000,000","750,000",2018
BOSNIA AND HERZEGOVINA,"6,842","1,398",31,13,70,950,59,"7,130","31,416",,,2018
BRAZIL,"143,424","42,108",628,58,244,0,77,"143,424","2,848,814","45,833,315","87,622",2018
BULGARIA,"3,981","1,016",6,54,48,"1,870",46,"4,254","46,620",,,2018
CHILE,,,,,,,,,,,,2018
CHINA,"75,065","40,125",525,113,39,"31,195",158,"80,231","621,011","84,002","19,632",2018
COLOMBIA,"1,741",467,48,6,14,136,12,"1,926","72,164",,,2018
COSTA RICA,"3,000",600,20,12,5,800,200,"3,000",,"8,000","7,500",2018
CROATIA,"9,923","1,990",18,20,118,"3,675",135,"10,157","294,345","350,000",,2018
CUBA,,,,,,,,,,,,2018
CYPRUS,,,,,,,,,,,,2018
CZECH REPUBLIC,"42,224","8,362",15,10,324,"49,912",168,"43,694","1,641,199","2,000,000","1,500,000",2018
DENMARK,"19,308","5,363",16,12,180,"26,140",69,"20,687","1,770,000","570,000","470,000",2018
DOMINICAN REPUBLIC,,,,,,,,,,,,2018
ECUADOR,,,,,,,,,,,,2018
EGYPT,"2,347",,3,3,0,411,8,"2,709","8,898","946,000","600,000",2018
EL SALVADOR,,,,,,,,,,,,2018
ESTONIA,"4,297",923,25,10,36,"2,351",119,"4,872","71,134",,,2018
FINLAND,"47,325","9,117",28,18,201,"145,171","2,069","49,890","600,000","800,000","500,000",2018
FRANCE,"230,740","45,731",67,28,571,"250,000","1,530","234,073","3,099,726","7,340,000","6,000,000",2018
GEORGIA,"3,157",558,9,7,4,16,12,"3,347","46,542","53,768","21,644",2018
GERMANY,"75,035","13,764",5,20,880,"378,722",180,,,"9,400,000","10,000,000",2018
GIBRALTAR,,,,,,,,,,,,2018
GREECE,"7,525","1,561",34,19,34,676,72,"7,916","168,515",,,2018
GUATEMALA,"3,301",928,20,6,5,"7,025",7,"3,366","69,387",,,2018
HONDURAS,,,,,,,,,,,,2018
HONG KONG,,,,,,,,,,,,2018
HUNGARY,"18,817","4,214",23,23,139,"7,074",168,"20,008","1,198,914","3,000,000","2,500,000",2018
ICELAND,"1,307",305,3,3,10,"3,400",29,"1,399","25,097","30,000","30,000",2018
INDIA,"44,584","6,523",154,3,8,377,91,"44,714","861,001","15,794,584","68,356,000",2018
INDONESIA,,,,,,,,,,,,2018
IRAN (ISLAMIC REPUBLIC OF),537,271,0,0,0,400,91,657,"3,770","3,000,000","2,000,000",2018
IRELAND,"17,182","2,730",31,6,,"26,194",200,"17,182",,,,2018
ISRAEL,,,,,,,,,,,,2018
ITALY,"159,626","35,889",43,83,333,"1,552",76,"162,788","7,401,446","15,000,000","7,000,000",2018
JAPAN,"292,543","102,810",161,14,143,"76,461",880,"292,906","15,694,026","8,903,000",,2018
JORDAN,,,,,,,,,,,,2018
KAZAKHSTAN,,,,,,,,,,,,2018
KIRGHIZISTAN,720,120,9,4,9,"1,030",15,810,"11,105",,,2018
KOREA (REPUBLIC OF),"15,272","4,142",43,24,43,"32,918",186,"16,098","115,000","10,000,000","5,110,000",2018
KOSOVO,"1,215",202,2,6,15,520,21,756,"3,871","12,000","8,200",2018
KUWAIT,570,89,1,1,0,43,0,"1,011","1,803",,,2018
LATVIA,"2,849",683,96,4,21,"2,402",36,"3,223","153,223","150,000","60,000",2018
LEBANON,,,,,,,,,,,,2018
LITHUANIA,"6,168","1,374",42,13,35,"4,000",46,"6,759","124,129","300,000","150,000",2018
LUXEMBOURG,,,,,,,,,,,,2018
MALAYSIA,"6,879","1,888",28,8,10,"1,829",3,"7,083","273,248","402,500",,2018
MALTA,,,,,,,,,,,,2018
MEXICO,,,,,,,,,,,,2018
MOLDAVIA (REPUBLIC OF),"1,582",391,12,18,17,0,16,311,"2,590",,,2018
MONACO,13,4,1,1,0,5,0,15,"2,193","3,500","3,000",2018
MONGOLIA,"1,131",247,1,,,627,10,"1,822","4,933","97,630","44,329",2018
MONTENEGRO,"3,249",763,3,17,41,695,35,"3,273","19,334","8,000","6,200",2018
MOROCCO,,,,,,,,,,,,2018
MYANMAR,,,,,,,,,,,,2018
