,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
JAPAN,"300,162","105,974",133,15,125,"76,953",884,"300,470","15,105,210","9,878,000",,2016
JORDAN,,,,,,,,,,,,2016
KAZAKHSTAN,,,,,,,,,,,,2016
KIRGHIZISTAN,700,128,6,4,2,"1,015",4,765,"9,465",,,2016
KOREA (REPUBLIC OF),"18,957","4,237",18,18,129,"25,363",83,"20,657",,,,2016
KOSOVO,283,75,0,2,0,453,21,325,"2,664","10,000","8,000",2016
KUWAIT,,,,,,,,,,,,2016
LATVIA,"2,967",511,15,5,12,"2,446",36,"3,119","52,322","120,000","55,000",2016
LEBANON,,,,,,,,,,,,2016
LITHUANIA,"6,395","1,413",36,11,33,"4,000",48,"6,981","110,263","300,000","150,000",2016
LUXEMBOURG,,,,,,,,,,,,2016
MALAYSIA,"7,943","2,227",32,10,10,"2,218",3,"8,297","260,963","385,400",,2016
MALTA,,,,,,,,,,,,2016
MEXICO,,,,,,,,,,,,2016
MOLDAVIA (REPUBLIC OF),"1,552",385,10,14,15,0,15,289,"1,957",,,2016
MONACO,37,6,1,1,0,15,1,7,"3,400","3,000","10,000",2016
MONGOLIA,,,,,,,,,,,,2016
MONTENEGRO,"2,048",412,1,15,40,503,32,"2,112","12,797","6,600","5,850",2016
MOROCCO,,,,,,,,,,,,2016
MYANMAR,,,,,,,,,,,,2016
NEW ZEALAND,,,,,,,,,,,,2016
NICARAGUA,212,42,8,4,1,36,8,230,"5,043",,,2016
NORTH MACEDONIA,"1,916",431,10,17,25,"2,010",44,"1,986","40,050","50,050","28,500",2016
NORWAY,"27,080","5,710",11,11,160,"71,920",984,"30,540","1,000,000","500,000","1,500,000",2016
PAKISTAN,"10,562","2,113",28,4,4,309,6,"10,641","71,299","190,200","120,000",2016
PANAMA,,,,,,,,,,,,2016
PARAGUAY,493,96,9,5,14,81,,57,870,,"47,300",2016
PERU,"5,713","1,323",46,17,16,189,12,,,,,2016
PHILIPPINES,"69,730","18,962",155,25,36,"20,818",38,"70,426","1,093,233",,,2016
POLAND,"46,778","9,747",55,17,213,"23,000",29,,,"68,144",,2016
PORTUGAL,"14,127","3,137",27,15,52,638,42,"14,879",,,,2016
PUERTO RICO,"2,765",449,10,6,17,566,2,"2,987","102,463","1,400,135","702,610",2016
ROMANIA,"12,683","2,660",23,29,37,"7,800",54,"13,182","236,314","500,000","300,000",2016
RUSSIAN FEDERATION,"317,105","70,595","1,055",36,752,,"1,073","320,944","4,295,206","15,000,000","2,000,000",2016
SAN MARINO,194,36,8,6,3,30,2,243,"5,078","5,000","4,000",2016
SERBIA,"40,289","11,315",91,28,490,"31,085",220,"41,072","1,268,027",,,2016
SINGAPORE,432,122,6,3,15,568,2,506,"85,899","62,000","42,000",2016
SLOVAKIA,"11,054","2,279",3,14,99,"8,951",3,"12,116",,,,2016
SLOVENIA,"3,391",681,7,13,119,0,120,"3,871","92,990",0,0,2016
SOUTH AFRICA,"14,636","3,689",48,5,160,"3,271",204,"14,819","772,098","9,000,000",1,2016
SPAIN,"59,942","15,710",56,30,237,"2,479",395,"59,942","2,291,702",,,2016
SRI LANKA,,,,,,,,,,,,2016
SUDAN,,,,,,,,,,,,2016
SWEDEN,"51,049","9,857",14,25,275,"275,000","1,100","51,049","2,929,000","784,000","584,000",2016
SWITZERLAND,,,58,5,145,"58,000",445,,,,,2016
TAIWAN,"13,495","4,371",20,16,42,"13,156",22,"13,510","184,697","1,796,831","2,266",2016
THAILAND,"31,776","9,199",65,19,64,"32,227",9,"35,638","384,665","32,006","32,300",2016
THE NETHERLANDS,"36,155","6,789",3,19,290,"112,000",307,"38,023","3,000,000","1,500,000","1,300,000",2016
TURKEY,"3,773",611,12,6,5,0,28,"4,550","20,070","270,000","120,000",2016
UKRAINE,"17,535","6,806",71,35,111,"179,744",28,"20,854","238,419",0,0,2016
UNITED ARAB EMIRATES,,,,,,,,,,,,2016
URUGUAY,"3,887",778,19,3,56,622,9,"4,016","95,034","1,500,000","650,000",2016
UZBEKISTAN,322,58,2,4,4,"1,058",10,416,"1,953",,,2016
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2016
VIETNAM,"4,901","1,177",20,2,0,190,15,"5,851","13,097","500,000","200,000",2016
