,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
MEXICO,"42,746","11,356",162,14,35,"83,481",49,"42,746",,,"96,529",2017
MOLDAVIA (REPUBLIC OF),"1,530",373,12,18,16,0,15,322,"2,279",,,2017
MONACO,6,1,1,1,0,8,1,1,"3,401","3,000","6,000",2017
MONGOLIA,,,2,,,223,6,,,"88,563","43,012",2017
MONTENEGRO,"3,288",635,1,17,41,658,35,"3,345","16,085","7,000","6,100",2017
MOROCCO,,,,,,,,,,,,2017
MYANMAR,,,,,,,,,,,,2017
NEW ZEALAND,,,,,,,,,,,,2017
NICARAGUA,275,47,8,4,1,42,7,292,"5,335",,,2017
NORTH MACEDONIA,"2,117",507,5,22,22,"2,900",34,"2,322","42,167","52,000","33,000",2017
NORWAY,"26,714","5,519",11,11,160,"70,689",264,"28,854","1,000,000","500,000","1,500,000",2017
PAKISTAN,,,,,,,,,,,,2017
PANAMA,,,,,,,,,,,,2017
PARAGUAY,560,106,9,5,14,81,2,68,750,,"47,300",2017
PERU,"5,817","1,368",43,16,9,320,8,"6,065",,,,2017
PHILIPPINES,"75,281","19,851",139,27,40,"17,750",24,"76,426","1,169,659",,,2017
POLAND,,,,,,,,,,,,2017
PORTUGAL,"13,639","2,999",27,14,51,659,40,"14,378",,,,2017
PUERTO RICO,"2,837",461,10,6,16,573,2,"3,112","103,501","1,400,000","702,700",2017
ROMANIA,"12,683","2,660",34,26,63,"8,100",54,"13,182","249,496","502,000","304,000",2017
RUSSIAN FEDERATION,"259,673","70,811","1,142",40,744,,593,"263,522","4,689,692","15,000,000","2,000,000",2017
SAN MARINO,134,27,2,6,3,30,2,159,"5,237","4,500","4,000",2017
SERBIA,"41,196","11,266",83,30,225,"32,030",222,"42,178","1,310,205",,,2017
SINGAPORE,472,130,6,2,14,530,2,531,"86,430","62,000","42,000",2017
SLOVAKIA,"11,513","2,314",1,17,97,"8,711",3,"12,570",,,,2017
SLOVENIA,"3,305",677,4,15,120,0,122,"3,819","96,809","150,000","75,000",2017
SOUTH AFRICA,"13,434","3,325",63,5,141,"3,391",204,"13,577","785,675","9,000,000",,2017
SPAIN,"59,993","15,773",57,30,246,"2,431",320,"59,836","2,353,263",,,2017
SRI LANKA,,,,,,,,,,,,2017
SUDAN,,,,,,,,,,,,2017
SWEDEN,"51,059","9,865",14,25,272,"270,000","1,100","51,059","2,980,000","881,000","668,000",2017
SWITZERLAND,,"1,350",,,,,,,,,,2017
TAIWAN,,,,,,,,,,,,2017
THAILAND,"39,810","12,185",72,15,66,"33,773",9,"47,697","430,468","39,902","33,841",2017
THE NETHERLANDS,"36,000",,1,18,307,"114,000",306,"38,000","3,040,000","1,500,000","1,300,000",2017
TURKEY,"4,201",770,10,8,21,0,30,"5,422","24,886","270,000","120,000",2017
UKRAINE,"13,698","5,317",86,26,120,"186,242",28,"17,192","238,419",0,0,2017
UNITED ARAB EMIRATES,,,,,,,,,,,,2017
URUGUAY,"3,589",743,19,3,41,662,7,"3,683","98,717","1,500,000","650,000",2017
UZBEKISTAN,417,87,5,4,4,"1,117",11,452,"2,405",,,2017
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2017
VIETNAM,,,,,,,,,,,,2017
