,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
PANAMA,,,,,,,,,,,,2020
PARAGUAY,,,,,,,,,,,,2020
PERU,"4,171",976,6,2,14,280,3,"4,300","110,000","3,000,000","1,500,000",2020
PHILIPPINES,"93,320","23,414",17,4,38,"20,329",24,"94,031","1,436,142","10,800,000","11,600,000",2020
POLAND,"62,192","12,308",12,3,235,"23,500",26,"16,609",,"82,168",,2020
PORTUGAL,"14,399","3,107",6,3,49,688,44,"14,854",,,,2020
PUERTO RICO,,,,,,,,,,,,2020
ROMANIA,"14,592","2,952",22,20,81,"5,336",19,"15,098","291,853",,,2020
RUSSIAN FEDERATION,"346,400","67,395","1,369",56,692,0,"1,360","350,400","6,130,100","19,000,000","9,500,000",2020
SAN MARINO,107,24,3,2,3,24,2,129,"5,701","6,081","4,500",2020
SERBIA,"48,760","12,493",5,2,260,"32,820",204,"49,503","1,443,229",,,2020
SINGAPORE,,,,,,,,,,,,2020
SLOVAKIA,"13,069","2,598",0,12,101,"8,711",3,"13,905",,,,2020
SLOVENIA,"3,860",765,2,9,135,0,120,"4,336","108,782","150,000","75,000",2020
SOUTH AFRICA,"11,935","2,881",13,0,147,"3,488",204,"12,332","825,178","9,950,000","6,000,000",2020
SPAIN,"39,613","10,419",17,6,250,"2,268",327,"40,646","2,532,965",,,2020
SRI LANKA,"5,270",913,1,0,0,267,1,"5,765","17,687","84,000","5,100",2020
SUDAN,,,,,,,,,,,,2020
SWEDEN,"57,076","11,037",1,1,268,"281,000","1,100","57,076","2,640,000","934,000","687,000",2020
SWITZERLAND,"6,933","1,342",17,0,130,"43,342",449,"7,732","167,850","529,447","200,000",2020
TAIWAN,,,,,,,,,,,,2020
THAILAND,,,,,,,,,,,,2020
THE NETHERLANDS,"35,491",,1,3,276,,,,,,,2020
TURKEY,,,,,,,,,,,,2020
UKRAINE,"35,306","7,854",43,38,220,"275,179",33,"36,322","328,716",,,2020
UNITED ARAB EMIRATES,178,33,0,2,0,108,1,213,"2,714",,,2020
URUGUAY,"2,962",687,2,1,38,590,5,"3,028","108,667","1,700,000","600,000",2020
UZBEKISTAN,429,123,1,0,6,"1,164",12,614,"4,436",,,2020
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2020
VIETNAM,,,,,,,,,,,,2020
